role,question,expected_keywords,difficulty,ideal_answer
Data Scientist,What is overfitting?,overfitting,Easy,"overfitting is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is underfitting?,underfitting,Easy,"underfitting is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is regression?,regression,Easy,"regression is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is classification?,classification,Easy,"classification is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is precision?,precision,Easy,"precision is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is recall?,recall,Easy,"recall is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is accuracy?,accuracy,Easy,"accuracy is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is feature engineering?,"feature,engineering",Easy,"feature engineering is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is a dataset?,dataset,Easy,"a dataset is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is data preprocessing?,"data,preprocessing",Easy,"data preprocessing is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is cross validation?,"cross,validation",Medium,"cross validation is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is feature selection?,"feature,selection",Medium,"feature selection is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is bias variance tradeoff?,"bias,variance,tradeoff",Medium,"bias variance tradeoff is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,Explain confusion matrix.,"confusion,matrix",Medium,"confusion matrix. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Scientist,What is ROC AUC?,"roc,auc",Medium,"ROC AUC is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is imbalanced data?,"imbalanced,data",Medium,"imbalanced data is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is ensemble learning?,"ensemble,learning",Medium,"ensemble learning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,Explain decision trees.,"decision,trees",Medium,"decision trees. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Scientist,What is model evaluation?,"model,evaluation",Medium,"model evaluation is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is dimensionality reduction?,"dimensionality,reduction",Medium,"dimensionality reduction is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,Explain PCA.,pca,Hard,"PCA. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Scientist,Explain SHAP values.,"shap,values",Hard,"SHAP values. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Scientist,What is data leakage?,"data,leakage",Hard,"data leakage is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,How would you optimize a model?,"would,you,optimize,model",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
Data Scientist,Explain Bayesian optimization.,"bayesian,optimization",Hard,"Bayesian optimization. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Scientist,What is concept drift?,"concept,drift",Hard,"concept drift is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,Explain statistical significance.,"statistical,significance",Hard,"statistical significance. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Scientist,What is multicollinearity?,multicollinearity,Hard,"multicollinearity is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,How do you handle large datasets?,"do,you,handle,large,datasets",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
Data Scientist,Explain advanced feature engineering.,"advanced,feature,engineering",Hard,"advanced feature engineering. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
AI Engineer,What is NLP?,nlp,Easy,"NLP is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is Deep Learning?,"deep,learning",Easy,"Deep Learning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is Machine Learning?,"machine,learning",Easy,"Machine Learning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is a Neural Network?,"neural,network",Easy,"a Neural Network is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is Prompt Engineering?,"prompt,engineering",Easy,"Prompt Engineering is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What are Embeddings?,"are,embeddings",Easy,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
AI Engineer,What is Generative AI?,"generative,ai",Easy,"Generative AI is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is a chatbot?,chatbot,Easy,"a chatbot is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is computer vision?,"computer,vision",Easy,"computer vision is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is tokenization?,tokenization,Easy,"tokenization is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What are Transformers?,"are,transformers",Medium,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
AI Engineer,What is an LLM?,llm,Medium,"an LLM is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,Difference between CNN and RNN?,"difference,between,cnn,rnn",Medium,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
AI Engineer,What is fine tuning?,"fine,tuning",Medium,"fine tuning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is transfer learning?,"transfer,learning",Medium,"transfer learning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,Explain attention mechanism.,"attention,mechanism",Medium,"attention mechanism. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
AI Engineer,What is vector search?,"vector,search",Medium,"vector search is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is semantic similarity?,"semantic,similarity",Medium,"semantic similarity is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,How do LLMs work?,"do,llms,work",Medium,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
AI Engineer,What is Retrieval Augmented Generation?,"retrieval,augmented,generation",Medium,"Retrieval Augmented Generation is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,Explain self-attention mathematically.,"self,attention,mathematically",Hard,"self-attention mathematically. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
AI Engineer,How would you reduce hallucinations?,"would,you,reduce,hallucinations",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
AI Engineer,What is RLHF?,rlhf,Hard,"RLHF is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,Explain LoRA.,lora,Hard,"LoRA. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
AI Engineer,What is model quantization?,"model,quantization",Hard,"model quantization is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,How would you deploy an LLM?,"would,you,deploy,llm",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
AI Engineer,Explain multi-agent AI systems.,"multi,agent,ai,systems",Hard,"multi-agent AI systems. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
AI Engineer,What is chain-of-thought reasoning?,"chain,thought,reasoning",Hard,"chain-of-thought reasoning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,Explain prompt injection attacks.,"prompt,injection,attacks",Hard,"prompt injection attacks. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
AI Engineer,How do embeddings work internally?,"do,embeddings,work,internally",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
Machine Learning Engineer,What is supervised learning?,"supervised,learning",Easy,"supervised learning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is unsupervised learning?,"unsupervised,learning",Easy,"unsupervised learning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is reinforcement learning?,"reinforcement,learning",Easy,"reinforcement learning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is Random Forest?,"random,forest",Easy,"Random Forest is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is XGBoost?,xgboost,Easy,"XGBoost is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is gradient descent?,"gradient,descent",Easy,"gradient descent is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is model deployment?,"model,deployment",Easy,"model deployment is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is hyperparameter tuning?,"hyperparameter,tuning",Easy,"hyperparameter tuning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is feature selection?,"feature,selection",Easy,"feature selection is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is clustering?,clustering,Easy,"clustering is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,Explain regularization.,regularization,Medium,"regularization. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Machine Learning Engineer,What is bagging?,bagging,Medium,"bagging is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is boosting?,boosting,Medium,"boosting is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is k-means?,"k,means",Medium,"k-means is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is logistic regression?,"logistic,regression",Medium,"logistic regression is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is linear regression?,"linear,regression",Medium,"linear regression is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,Explain cross validation.,"cross,validation",Medium,"cross validation. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Machine Learning Engineer,What is GridSearchCV?,gridsearchcv,Medium,"GridSearchCV is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is model drift?,"model,drift",Medium,"model drift is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,What is feature scaling?,"feature,scaling",Medium,"feature scaling is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,Explain distributed training.,"distributed,training",Hard,"distributed training. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Machine Learning Engineer,How would you optimize inference speed?,"would,you,optimize,inference,speed",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
Machine Learning Engineer,Explain model monitoring.,"model,monitoring",Hard,"model monitoring. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Machine Learning Engineer,What is online learning?,"online,learning",Hard,"online learning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,How would you handle concept drift?,"would,you,handle,concept,drift",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
Machine Learning Engineer,Explain AutoML.,automl,Hard,"AutoML. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Machine Learning Engineer,What is Bayesian learning?,"bayesian,learning",Hard,"Bayesian learning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Machine Learning Engineer,How would you deploy ML at scale?,"would,you,deploy,ml,at",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
Machine Learning Engineer,Explain feature stores.,"feature,stores",Hard,"feature stores. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Machine Learning Engineer,What is MLOps?,mlops,Hard,"MLOps is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is data cleaning?,"data,cleaning",Easy,"data cleaning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is EDA?,eda,Easy,"EDA is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is a KPI?,kpi,Easy,"a KPI is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is SQL?,sql,Easy,"SQL is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is Excel?,excel,Easy,"Excel is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is a dashboard?,dashboard,Easy,"a dashboard is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is a chart?,chart,Easy,"a chart is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is business intelligence?,"business,intelligence",Easy,"business intelligence is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is data visualization?,"data,visualization",Easy,"data visualization is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is aggregation?,aggregation,Easy,"aggregation is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is normalization?,normalization,Medium,"normalization is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is a JOIN?,join,Medium,"a JOIN is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,Explain GROUP BY.,"group,by",Medium,"GROUP BY. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Analyst,What is a pivot table?,"pivot,table",Medium,"a pivot table is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is ETL?,etl,Medium,"ETL is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is a warehouse?,warehouse,Medium,"a warehouse is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,Explain data pipelines.,"data,pipelines",Medium,"data pipelines. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Analyst,What is A/B testing?,"b,testing",Medium,"A/B testing is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is segmentation?,segmentation,Medium,"segmentation is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,What is trend analysis?,"trend,analysis",Medium,"trend analysis is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,How would you analyze customer churn?,"would,you,analyze,customer,churn",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
Data Analyst,How would you build a KPI framework?,"would,you,build,kpi,framework",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
Data Analyst,Explain cohort analysis.,"cohort,analysis",Hard,"cohort analysis. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Analyst,What is forecasting?,forecasting,Hard,"forecasting is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,Explain attribution modeling.,"attribution,modeling",Hard,"attribution modeling. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Analyst,How would you measure business growth?,"would,you,measure,business,growth",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
Data Analyst,What is statistical significance?,"statistical,significance",Hard,"statistical significance is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Analyst,How would you design an analytics system?,"would,you,design,analytics,system",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
Data Analyst,Explain retention metrics.,"retention,metrics",Hard,"retention metrics. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Analyst,How would you optimize reporting?,"would,you,optimize,reporting",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
